Date,Open,High,Low,Close,Volume,Adj Close
4/11/16,2.64,2.84,2.61,2.81,7936000,2.81
4/8/16,2.36,2.53,2.35,2.52,7753600,2.52
4/7/16,2.32,2.39,2.3,2.37,4455300,2.37
4/6/16,2.24,2.29,2.21,2.26,2923700,2.26
4/5/16,2.22,2.28,2.16,2.28,3938700,2.28
4/4/16,2.26,2.27,2.16,2.17,3204100,2.17
4/1/16,2.14,2.26,2.1,2.26,4267400,2.26
3/31/16,2.26,2.3,2.17,2.21,3037100,2.21
3/30/16,2.19,2.24,2.12,2.2,6930900,2.2
3/29/16,2.07,2.24,2.04,2.21,5511100,2.21
3/28/16,2.07,2.12,2.02,2.06,2669500,2.06
3/24/16,2.04,2.12,2.01,2.07,3179600,2.07
3/23/16,2.08,2.19,2.02,2.02,5264000,2.02
3/22/16,2.23,2.27,2.17,2.19,3657500,2.19
3/21/16,2.12,2.27,2.1,2.16,6826000,2.16
3/18/16,2.18,2.22,2.11,2.14,13446600,2.14
3/17/16,2.35,2.37,2.16,2.18,6262100,2.18
3/16/16,2.02,2.29,1.99,2.27,5359500,2.27
3/15/16,2.05,2.1,1.95,2.08,5471900,2.08
3/14/16,2.22,2.25,2.07,2.08,5317700,2.08
3/11/16,2.3,2.33,2.17,2.2,4147800,2.2
3/10/16,2.2,2.32,2.17,2.28,6118800,2.28
3/9/16,2.12,2.18,2.05,2.15,8645000,2.15
3/8/16,2.39,2.41,2.18,2.2,9665800,2.2
3/7/16,2.46,2.53,2.33,2.36,12656600,2.36
3/4/16,2.57,2.77,2.34,2.4,17413900,2.4
3/3/16,2.36,2.6,2.36,2.57,6187300,2.57
3/2/16,2.3,2.4,2.26,2.34,5282900,2.34
3/1/16,2.44,2.47,2.27,2.3,5980600,2.3
2/29/16,2.39,2.45,2.36,2.42,4273500,2.42
2/26/16,2.35,2.43,2.26,2.37,6478400,2.37
